# Instrument-source: 'dmc.instr'
# Date: Tue Sep  6 14:00:41 2005
# Ncount: 1e6
# Numpoints: 21
# Param: Lmin = 2.399
# Param: Lmax = 2.401
# Param: TT = 18.6
# type: multiarray_1d(21)
# title: Scan of TT
# xvars: TT
# yvars: (L_source_I,L_source_ERR) (E_source_I,E_source_ERR) (Guide_PSD_I,Guide_PSD_ERR) (Guide_E_I,Guide_E_ERR) (Guide_div_I,Guide_div_ERR) (sample_PSD_I,sample_PSD_ERR) (sample_E_I,sample_E_ERR) (sample_div_I,sample_div_ERR) (PSD_I,PSD_ERR)
# xlabel: 'TT'
# ylabel: 'Intensity'
# xlimits: 18.6 19.6
# filename: mcstas.dat
# variables: TT  L_source_I L_source_ERR E_source_I E_source_ERR Guide_PSD_I Guide_PSD_ERR Guide_E_I Guide_E_ERR Guide_div_I Guide_div_ERR sample_PSD_I sample_PSD_ERR sample_E_I sample_E_ERR sample_div_I sample_div_ERR PSD_I PSD_ERR
18.6  5.82304e+07 58233.5 5.8233e+07 58234.8 1.32035e+06 8065.49 1.32035e+06 8065.49 1.32035e+06 8065.49 425630 4406.11 425580 4405.83 425580 4405.83 0.000660814 0.000591755
18.65  5.82319e+07 58234.3 5.82346e+07 58235.6 1.33838e+06 8130.09 1.33838e+06 8130.09 1.33838e+06 8130.09 440795 4493.03 440795 4493.03 440795 4493.03 0.000312285 9.79775e-05
18.7  5.82322e+07 58234.5 5.82341e+07 58235.4 1.32395e+06 8091.13 1.32395e+06 8091.13 1.32395e+06 8091.13 431198 4443.05 431198 4443.05 431198 4443.05 0.00122941 0.000630806
18.75  5.8231e+07 58233.9 5.82336e+07 58235.1 1.33766e+06 8130.22 1.33766e+06 8130.22 1.33766e+06 8130.22 438869 4479.42 438869 4479.42 438869 4479.42 0.000848516 0.000173088
18.8  5.82322e+07 58234.4 5.82344e+07 58235.5 1.32995e+06 8105.38 1.32995e+06 8105.38 1.32995e+06 8105.38 436293 4467.39 436293 4467.39 436293 4467.39 0.000800467 0.000163848
18.85  5.82323e+07 58234.5 5.82347e+07 58235.7 1.32255e+06 8074.92 1.32255e+06 8074.92 1.32255e+06 8074.92 435110 4460.03 435110 4460.03 435110 4460.03 0.000941402 0.000189372
18.9  5.82326e+07 58234.6 5.82346e+07 58235.6 1.32555e+06 8086.04 1.32555e+06 8086.04 1.32555e+06 8086.04 431124 4439.94 431089 4439.81 431089 4439.81 0.000938371 0.000188272
18.95  5.82322e+07 58234.4 5.82341e+07 58235.4 1.32985e+06 8111.65 1.32985e+06 8111.65 1.32985e+06 8111.65 437963 4482.57 437878 4482.16 437878 4482.16 0.00113552 0.000221712
19  5.82316e+07 58234.1 5.82343e+07 58235.5 1.32093e+06 8072.36 1.32093e+06 8072.36 1.32093e+06 8072.36 438177 4482.2 438126 4481.91 438126 4481.91 0.00112224 0.00021725
19.05  5.82331e+07 58234.9 5.82347e+07 58235.7 1.32062e+06 8077.77 1.32062e+06 8077.77 1.32062e+06 8077.77 431226 4437.99 431226 4437.99 431226 4437.99 0.001335 0.000242879
19.1  5.82316e+07 58234.2 5.82341e+07 58235.4 1.32928e+06 8105.61 1.32928e+06 8105.61 1.32928e+06 8105.61 439043 4486.63 439020 4486.58 438981 4486.4 0.000732364 0.000176746
19.15  5.82317e+07 58234.2 5.82338e+07 58235.2 1.33038e+06 8102.93 1.33038e+06 8102.93 1.33038e+06 8102.93 443669 4498 443669 4498 443669 4498 0.000695936 0.000163715
19.2  5.82317e+07 58234.2 5.82341e+07 58235.4 1.32397e+06 8086.16 1.32397e+06 8086.16 1.32397e+06 8086.16 431184 4436.9 431183 4436.9 431183 4436.9 0.00066944 0.0001583
19.25  5.82314e+07 58234 5.82348e+07 58235.7 1.32421e+06 8077.97 1.32421e+06 8077.97 1.32421e+06 8077.97 433723 4451.67 433723 4451.67 433723 4451.67 0.000629527 0.000151912
19.3  5.82322e+07 58234.4 5.82344e+07 58235.5 1.33273e+06 8115.84 1.33273e+06 8115.84 1.33273e+06 8115.84 433352 4451.4 433352 4451.4 433352 4451.4 0.000709854 0.000152779
19.35  5.82307e+07 58233.6 5.82328e+07 58234.7 1.31094e+06 8047.42 1.31094e+06 8047.42 1.31094e+06 8047.42 434157 4461.22 434157 4461.22 434157 4461.22 0.000264695 8.93417e-05
19.4  5.82312e+07 58233.9 5.82336e+07 58235.1 1.33204e+06 8110.05 1.33204e+06 8110.05 1.33204e+06 8110.05 440145 4488.21 440145 4488.21 440145 4488.21 0.000239744 8.00212e-05
19.45  5.82312e+07 58233.9 5.82341e+07 58235.4 1.33012e+06 8104.06 1.33012e+06 8104.06 1.33012e+06 8104.06 439207 4486.76 439207 4486.76 439170 4486.61 9.66053e-05 4.24885e-05
19.5  5.82322e+07 58234.4 5.8234e+07 58235.3 1.32098e+06 8076 1.32098e+06 8076 1.32098e+06 8076 437758 4479.54 437719 4479.37 437719 4479.37 6.84103e-05 4.42409e-05
19.55  5.8232e+07 58234.3 5.8234e+07 58235.4 1.32915e+06 8101.19 1.32915e+06 8101.19 1.32915e+06 8101.19 435766 4463.3 435766 4463.3 435744 4463.25 4.46065e-05 3.12075e-05
19.6  5.82323e+07 58234.5 5.82346e+07 58235.7 1.32333e+06 8086.46 1.32333e+06 8086.46 1.32333e+06 8086.46 430990 4442.87 430949 4442.68 430911 4442.52 1.70821e-05 2.09212e-05
